Index,Date,Quarter,Private Equity Returns,PE_Return,Cumulative,100,,
1986 Q2 ,1986-06-30,Q2,4.22,0.0422,104.22,104.22,1986-07-01,1.41
1986 Q3 ,1986-09-30,Q3,-2.6,-0.026,101.62,101.62,1986-08-01,1.41
1986 Q4 ,1986-12-31,Q4,1.11,0.0111,102.73,102.73,1986-09-01,1.41
1987 Q1 ,1987-03-31,Q1,3.73,0.0373,106.46,106.46,1986-10-01,-0.87
1987 Q2 ,1987-06-30,Q2,1.28,0.0128,107.74,107.74,1986-11-01,-0.87
1987 Q3 ,1987-09-30,Q3,1.79,0.0179,109.53,109.53,1986-12-01,-0.87
1987 Q4 ,1987-12-31,Q4,-2.66,-0.0266,106.87,106.87,1987-01-01,0.37
1988 Q1 ,1988-03-31,Q1,2.21,0.0221,109.08,109.08,1987-02-01,0.37
1988 Q2 ,1988-06-30,Q2,3.55,0.0355,112.63,112.63,1987-03-01,0.37
1988 Q3 ,1988-09-30,Q3,3.27,0.0327,115.9,115.9,1987-04-01,1.24
1988 Q4 ,1988-12-31,Q4,2.85,0.0285,118.75,118.75,1987-05-01,1.24
1989 Q1 ,1989-03-31,Q1,2.22,0.0222,120.97,120.97,1987-06-01,1.24
1989 Q2 ,1989-06-30,Q2,3.7,0.037,124.67,124.67,1987-07-01,0.43
1989 Q3 ,1989-09-30,Q3,2,0.02,126.67,126.67,1987-08-01,0.43
1989 Q4 ,1989-12-31,Q4,1.47,0.0147,128.14,128.14,1987-09-01,0.43
1990 Q1 ,1990-03-31,Q1,0.49,0.0049,128.63,128.63,1987-10-01,0.60
1990 Q2 ,1990-06-30,Q2,4.75,0.0475,133.38,133.38,1987-11-01,0.60
1990 Q3 ,1990-09-30,Q3,-0.14,-0.0014,133.24,133.24,1987-12-01,0.60
1990 Q4 ,1990-12-31,Q4,0.18,0.0018,133.42,133.42,1988-01-01,-0.89
1991 Q1 ,1991-03-31,Q1,2.77,0.0277,136.19,136.19,1988-02-01,-0.89
